177 谍影重重2 8.5 106760人评价  NO COMMENTS
178 阿飞正传 8.4 117219人评价  王家卫是一种风格，张国荣是一个代表。
179 发条橙 8.4 139535人评价  我完全康复了。
180 巴黎淘气帮 8.6 87464人评价  四百击的反面。
181 蓝色大门 8.3 220279人评价  青春的窃窃私语。 
182 布达佩斯大饭店 8.7 169941人评价  NO COMMENTS
183 这个男人来自地球 8.5 113321人评价  科幻真正的魅力不是视觉效果能取代的。 
184 爱·回家 9.1 33633人评价  献给所有外婆的电影。
185 麦兜故事 8.5 101941人评价  麦兜是一只很哲学的猪。 
186 爱在暹罗 8.3 181915人评价  把爱放在心底，有爱就有希望。
187 蝴蝶 8.6 77345人评价  我们长途跋涉寻找的东西，有可能一直就在身边。 
188 与狼共舞 8.9 44687人评价  充满诗意与情怀的史诗作品。 
189 中央车站 8.7 61984人评价  心灵救赎。
190 魔女宅急便 8.4 136302人评价  NO COMMENTS
191 非常嫌疑犯 8.6 78848人评价  我不信仰上帝，但我敬畏上帝。
192 哪吒闹海 8.7 55782人评价  想你时你在闹海。
193 花样年华 8.3 163174人评价  偷情本没有这样美。
194 黄金三镖客 9.1 32130人评价  最棒的西部片。
195 罪恶之城 8.4 113354人评价  权力不是来自枪和子弹，权力来自谎言。
196 夜访吸血鬼 8.3 157097人评价  弥漫淡淡血腥气的优雅。
197 唐伯虎点秋香 8.2 209736人评价  NO COMMENTS
198 终结者2 8.5 99184人评价  少见的超越首部的续集，动作片中的经典。
199 美国丽人 8.4 136067人评价  每个人的内心都是深不可测的大海。 
200 暖暖内含光 8.4 106067人评价  恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
201 末路狂花 8.6 68278人评价  没有了退路，只好飞向自由。
202 新龙门客栈 8.4 133111人评价  嬉笑怒骂，调风动月。
203 勇士 8.9 64108人评价  热血沸腾，相当完美的娱乐拳击大餐。
204 青蛇 8.3 153944人评价  人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
205 偷拐抢骗 8.5 82436人评价  典型盖·里奇式的英国黑色幽默黑帮片。
206 城市之光 9.2 26207人评价  永远的小人物，伟大的卓别林。
207 喜剧之王 8.2 194376人评价  NO COMMENTS
208 忠犬八公物语 9.0 31479人评价  养狗三日，便会对你终其一生。
209 黑客帝国3：矩阵革命 8.4 107979人评价  不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
210 初恋这件小事 8.3 346433人评价  黑小鸭速效美白记。
211 遗愿清单 8.5 84424人评价  用剩余不多的时间，去燃烧整个生命。
212 7号房的礼物 8.6 96242人评价  NO COMMENTS
213 恐怖游轮 8.2 194131人评价  不要企图在重复中寻找已经失去的爱。
214 东京物语 9.1 27251人评价  NO COMMENTS
215 跳出我天地 8.7 47089人评价  家人的爱，是自己所能拥有的最大的财富。
216 无耻混蛋 8.3 163231人评价  昆汀同学越来越变态了，比北野武还杜琪峰。
217 源代码 8.3 309168人评价  邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
218 我们俩 8.6 57864人评价  想外婆了，有没有？！
219 不一样的天空 8.6 59178人评价  生命有裂缝，阳光才照得进来。
